n_rows,n_duplicates,std,std_norm,std_abs,std_norm_abs,range,range_abs,mean,mean_abs,mean_norm,mean_norm_abs,mean_per_updates,mean_abs_per_updates,pow_2_mean_abs_per_updates,pow_3_mean_abs_per_updates,pow_4_mean_abs_per_updates,mean_abs_per_sqrt_updates,mean_abs_per_log_updates,mean_norm_per_updates,mean_norm_abs_per_updates
300000,3.1560343376535935,106254.88245139607,0.3541829415046536,106149.46460458479,0.3538315486819493,301026,299876,-55488.2,55689.6,-0.18496066666666666,0.185632,-0.18496066666666666,0.185632,6.187733333333333e-07,2.0625777777777777e-12,6.875259259259259e-18,101.67483379479899,4415.7660301127,-6.165355555555555e-07,6.187733333333333e-07
300000,9.999666677777407,127086.27974612366,0.4236209324870789,126984.5381017311,0.423281793672437,300884,299908,-80498.3,80658.7,-0.26832766666666663,0.2688623333333333,-0.2683276666666667,0.2688623333333333,8.962077777777778e-07,2.9873592592592593e-12,9.957864197530864e-18,147.2619648301398,6395.627684398007,-8.944255555555555e-07,8.962077777777777e-07
300000,29.997000299970004,133540.20876859524,0.4451340292286508,133520.4583007413,0.4450681943358044,300248,299752,-106329.8,106354.6,-0.3544326666666667,0.35451533333333335,-0.3544326666666667,0.35451533333333335,1.181717777777778e-06,3.93905925925926e-12,1.3130197530864198e-17,194.1760450481298,8433.119107090448,-1.1814422222222221e-06,1.181717777777778e-06
300000,99.96667777407531,140265.89930168344,0.4675529976722782,140243.70611685218,0.4674790203895072,300236,299884,-131882.3,131905.9,-0.4396076666666667,0.4396863333333333,-0.4396076666666666,0.4396863333333333,1.465621111111111e-06,4.8854037037037035e-12,1.628467901234568e-17,240.82612299340227,10459.144838379927,-1.465358888888889e-06,1.465621111111111e-06
300000,299.7002997002997,147990.69303071054,0.49330231010236847,147932.73256216827,0.4931091085405609,300564,299744,-152027.3,152083.7,-0.5067576666666667,0.5069456666666666,-0.5067576666666667,0.5069456666666667,1.689818888888889e-06,5.63272962962963e-12,1.8775765432098766e-17,277.6655770628281,12059.09247317005,-1.6891922222222223e-06,1.6898188888888887e-06
300000,996.6777408637873,137070.49636340415,0.4569016545446806,137070.49636340415,0.4569016545446806,298678,298678,-182072.7,182072.7,-0.606909,0.606909,-0.606909,0.606909,2.02303e-06,6.743433333333334e-12,2.2478111111111114e-17,332.41774965290284,14436.994405973479,-2.02303e-06,2.02303e-06
1000000,1.0508230571595203,10871.972855006583,0.215303644942304,10765.489722256021,0.21319490102693323,51596,50460,-3482.8,3799.2,-0.06897179974651457,0.07523764258555132,-0.0034828000000000003,0.0037992,3.7992e-09,3.7992e-15,3.7992e-21,3.7992,274.99526594113905,-6.897179974651457e-08,7.523764258555132e-08
1000000,1.1575266433695137,17177.566353823233,0.30168896613550233,16862.434303504342,0.29615431352531424,58994,56430,-7990.4,8635.6,-0.1403351013382978,0.15166672520987742,-0.0079904,0.0086356,8.6356e-09,8.6356e-15,8.6356e-21,8.6356,625.0655713206203,-1.403351013382978e-07,1.516667252098774e-07
1000000,1.5813301833236082,18884.372921545477,0.3907219424303872,18675.15757791618,0.38639322970115403,50038,48310,-11358.4,11699.2,-0.23500786228585616,0.24205909128527683,-0.0113584,0.0116992,1.16992e-08,1.16992e-14,1.1699200000000002e-20,11.699200000000001,846.8163337804207,-2.3500786228585616e-07,2.4205909128527685e-07
1000000,3.1600269234293874,244926.54249000864,0.24492654249000861,244762.44218366098,0.24476244218366103,1001778,999818,-101780.3,102174.3,-0.1017803,0.10217429999999998,-0.1017803,0.10217430000000001,1.021743e-07,1.021743e-13,1.021743e-19,102.1743,7395.622447054571,-1.017803e-07,1.0217429999999998e-07
1000000,10.00050002500125,354301.27316253044,0.3543012731625304,354152.15138630744,0.3541521513863074,1001508,999888,-184941.1,185226.5,-0.1849411,0.18522650000000002,-0.1849411,0.1852265,1.852265e-07,1.852265e-13,1.852265e-19,185.2265,13407.141142042114,-1.849411e-07,1.852265e-07
1000000,29.99940001199976,427123.37698590086,0.4271233769859009,427083.1145531745,0.42708311455317455,1000678,999964,-253597.6,253665.4,-0.25359760000000003,0.2536654,-0.2535976,0.2536654,2.536654e-07,2.536654e-13,2.536654e-19,253.6654,18360.91391163019,-2.535976e-07,2.536654e-07
1000000,99.9900009999,445599.44531001156,0.4455994453100116,445509.53975567117,0.4455095397556712,1000536,999726,-353811.1,353924.3,-0.3538111,0.35392429999999997,-0.3538111,0.35392429999999997,3.5392429999999996e-07,3.539243e-13,3.5392429999999997e-19,353.9243,25617.89508357851,-3.538111e-07,3.5392429999999996e-07
1000000,299.9400119976005,469266.0813610973,0.4692660813610973,469166.174209693,0.46916617420969303,1000616,999528,-430810.0,430918.8,-0.43080999999999997,0.4309188,-0.43081,0.4309188,4.309188e-07,4.309188e-13,4.309188e-19,430.9188,31190.942831395165,-4.3081e-07,4.309188e-07
1000000,999.000999000999,493533.7768091967,0.4935337768091968,493523.3083165475,0.4935233083165474,1000082,999980,-506514.5,506524.7,-0.5065145,0.5065246999999999,-0.5065145,0.5065247,5.065247e-07,5.065247e-13,5.065247e-19,506.5247,36663.48035961668,-5.065145e-07,5.065247e-07
